Year,Total,Female,Male
2000,218062,106320,111742
2001,219538,107537,112001
2002,223603,110337,113266
2003,226169,111264,114905
2004,226584,112071,114513
2005,230132,114126,116006
2006,228079,112930,115149
2007,235217,116536,118681
2008,238617,118191,120426
2009,238418,118107,120311
2010,240075,119437,120638
2011,243511,121260,122251
2012,246596,122361,124235
2013,252338,125365,126973
2014,258821,128060,130761
2015,264333,130892,133441
2016,267213,131441,135772
2017,276689,135590,141099
2018,283706,139223,144483
2019,284082,138520,145562
